Symbol,Name,Market Cap,P/E ttm,EPS ttm,Net Income(a),Beta,Dividend(a),Div Yield
NSP,Insperity Inc,3019881000,18.85,4.05,151100000,1.6,1.6,2.06%
NTCT,Netscout Systems,1542567000,19.2,1.1,-2750000,0.97,0,0.00%
NUS,Nu Skin Enterprises,2669555000,19.1,2.68,173550000,1.32,1.5,2.89%
NUVA,Nuvasive Inc,2525235000,34.08,1.4,65230000,1.28,0,0.00%
NVT,Nvent Electric Plc,3050244000,11.07,1.59,222700000,1.43,0.7,3.90%
NWE,Northwestern Corp,2615595000,16.05,3.26,202120000,0.3,2.4,4.64%
NYCB,New York Community Bancorp,3799423000,9.62,0.8,395040000,0.88,0.68,8.30%
NYT,New York Times Company,6690211000,44.83,0.9,139970000,0.82,0.24,0.60%
OC,Owens Corning Inc,7269342000,15.11,4.24,405000000,1.55,0.96,1.43%
OFC,Corporate Office Properties,2462417000,10.8,0.99,191690000,0.94,1.1,5.01%
OGE,Oge Energy Corp,6197263000,14.32,2.17,433600000,0.72,1.61,5.20%
OGS,One Gas Inc,3642024000,19.88,3.49,186750000,0.25,2.16,3.14%
OHI,Omega Healthcare Investors,6743308000,9.27,1.72,341120000,0.87,2.68,9.02%
OI,Owens-Illinois,1528751000,7.32,1.46,-400000000,1.71,0,0.00%
OLED,Universal Display,9316378000,83.45,2.28,138300000,1.37,0.6,0.30%
OLLI,Ollies Bargain CS,5901491000,33.99,2.68,141130000,1.2,0,0.00%
OLN,Olin Corp,2663132000,0,-0.71,-11300000,1.21,0.8,4.74%
ORI,Old Republic International Corp,4955787000,8.12,1.98,1056500000,0.82,0.84,5.15%
OSK,Oshkosh Truck Corp,4719746000,12.25,5.81,579400000,1.61,1.2,1.73%
OZK,Bank Ozk,3112161000,11.53,2.1,425910000,2.03,1.1,4.57%
PACW,Pacwest Bancorp,2191398000,9.38,1.95,468640000,1.64,1,5.33%
PB,Prosperity Bancshares,5058310000,9.74,5.27,332550000,1.38,1.84,3.37%
PBH,Prestige Brand Holdings,1668784000,10.31,3.17,142280000,0.75,0,0.00%
PCH,Potlatch Cp,2833325000,25.67,0.73,55660000,1.35,1.6,3.78%
PCTY,Paylocity Hld Corp,10238554000,161.85,1.15,64460000,1.5,0,0.00%
PDCO,Patterson Companies,2405959000,15.17,1.62,-588450000,1.68,1.04,4.16%
PEB,Pebblebrook Hotel Trust,1655442000,14.28,-0.48,115440000,1.65,0.04,0.32%
PEN,Penumbra Inc,9538744000,0,0.17,48460000,0.67,0,0.00%
PENN,Penn Natl Gaming Inc,8648619000,0,-2.05,43900000,2.59,0,0.00%
PII,Polaris Industries Inc,5633827000,14.9,5.03,323960000,2.11,2.48,2.72%
PK,Park Hotels & Resorts Inc,2346626000,10.66,-3.46,306000000,1.84,0,0.00%
PNFP,Pinnacle Finl Ptnrs,3389469000,10.74,4,400880000,1.39,0.64,1.43%
PNM,PNM Resources Inc,3968362000,21.67,2.3,77890000,0.63,1.23,2.47%
POOL,Pool Corp,14453009000,46.94,7.73,261580000,0.86,2.32,0.64%
POST,Post Holdings Inc,5844887000,24.41,3.55,124700000,0.73,0,0.00%
PPC,Pilgrim's Pride,3970400000,16.07,0.77,455920000,0.95,0,0.00%
PRAH,Pra Health,6314230000,23.97,4.17,243020000,1.05,0,0.00%
PRI,Primerica Inc,4356685000,12.21,8.97,366390000,1.39,1.6,1.45%
PRSP,Perspecta Inc,2903290000,8.94,1.97,-676000000,1.32,0.28,1.55%
PSB,Business Parks,3058747000,16.89,4.4,174970000,0.39,4.2,3.77%
PTC,Ptc Inc,9971052000,44.1,1.84,-27460000,1.22,0,0.00%
